i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz,target
0.209909,-2.570681,-2.780582,1.180145,1.494985,-2.675621,1.053561,0.559921,-0.019617,0.277591,-1.373136,0.359093,-0.275798,-2.438414,-0.752815,0
-0.118777,-2.512213,-2.394268,1.315152,1.138013,-2.453557,1.368321,1.248025,1.898189,0.888302,1.743417,-0.090241,1.519345,-3.631059,-1.919627,1
-1.150799,-5.460355,-4.308959,3.305307,1.578918,-4.884402,2.408009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
0.186332,-3.128671,-3.314996,1.471177,1.750667,-3.221834,-0.072086,1.370856,0.730717,-0.722774,-0.257784,-0.315312,0.460972,-2.947319,0.764886,0
-2.250795,-4.035583,-1.7847,3.143187,-0.233146,-2.909891,-0.791132,-1.570219,-0.451198,0.416679,-0.162141,1.14075,0.110887,-0.910229,0.455595,1
0.594509,-2.571211,-3.166185,0.988428,1.880079,-2.868701,2.283416,2.210229,2.295834,1.832963,1.575839,1.604896,0.603235,-1.726761,0.513244,1
0.04531,-2.84591,-2.891375,1.400249,1.468347,-2.868394,0.629824,0.745771,0.545854,-0.250722,-1.322413,-0.860922,0.343284,-1.507176,0.591939,0
0.127583,-2.776442,-2.904026,1.324432,1.515552,-2.839986,1.45492,1.484996,1.609631,1.443431,1.699822,1.916012,0.028502,-2.353244,0.031199,1
-0.308121,-2.922381,-2.614239,1.615266,1.152811,-2.768557,0.285425,0.461862,0.671013,-0.064833,0.56011,0.243557,-0.144175,-1.056708,0.162347,0
0.209909,-2.570681,-2.780582,1.180145,1.494985,-2.675621,1.053561,0.559921,-0.019617,0.277591,-1.373136,0.359093,-0.275798,-2.438414,-0.752815,0
-0.118777,-2.512213,-2.394268,1.315152,1.138013,-2.453557,1.368321,1.248025,1.898189,0.888302,1.743417,-0.090241,1.519345,-3.631059,-1.919627,1
-1.150799,-5.460355,-4.308959,3.305307,1.578918,-4.884402,2.408009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
0.186332,-3.128671,-3.314996,1.471177,1.750667,-3.221834,-0.072086,1.370856,0.730717,-0.722774,-0.257784,-0.315312,0.460972,-2.947319,0.764886,0
-2.250795,-4.035583,-1.7847,3.143187,-0.233146,-2.909891,-0.791132,-1.570219,-0.451198,0.416679,-0.162141,1.14075,0.110887,-0.910229,0.455595,1
0.594509,-2.571211,-3.166185,0.988428,1.880079,-2.868701,2.283416,2.210229,2.295834,1.832963,1.575839,1.604896,0.603235,-1.726761,0.513244,1
0.04531,-2.84591,-2.891375,1.400249,1.468347,-2.868394,0.629824,0.745771,0.545854,-0.250722,-1.322413,-0.860922,0.343284,-1.507176,0.591939,0
0.127583,-2.776442,-2.904026,1.324432,1.515552,-2.839986,1.45492,1.484996,1.609631,1.443431,1.699822,1.916012,0.028502,-2.353244,0.031199,1
-0.308121,-2.922381,-2.614239,1.615266,1.152811,-2.768557,0.285425,0.461862,0.671013,-0.064833,0.56011,0.243557,-0.144175,-1.056708,0.162347,0
0.209909,-2.570681,-2.780582,1.180145,1.494985,-2.675621,1.053561,0.559921,-0.019617,0.277591,-1.373136,0.359093,-0.275798,-2.438414,-0.752815,0
-0.118777,-2.512213,-2.394268,1.315152,1.138013,-2.453557,1.368321,1.248025,1.898189,0.888302,1.743417,-0.090241,1.519345,-3.631059,-1.919627,1
-1.150799,-5.460355,-4.308959,3.305307,1.578918,-4.884402,2.408009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
0.186332,-3.128671,-3.314996,1.471177,1.750667,-3.221834,-0.072086,1.370856,0.730717,-0.722774,-0.257784,-0.315312,0.460972,-2.947319,0.764886,0
-2.250795,-4.035583,-1.7847,3.143187,-0.233146,-2.909891,-0.791132,-1.570219,-0.451198,0.416679,-0.162141,1.14075,0.110887,-0.910229,0.455595,1
0.594509,-2.571211,-3.166185,0.988428,1.880079,-2.868701,2.283416,2.210229,2.295834,1.832963,1.575839,1.604896,0.603235,-1.726761,0.513244,1
0.04531,-2.84591,-2.891375,1.400249,1.468347,-2.868394,0.629824,0.745771,0.545854,-0.250722,-1.322413,-0.860922,0.343284,-1.507176,0.591939,0
0.127583,-2.776442,-2.904026,1.324432,1.515552,-2.839986,1.45492,1.484996,1.609631,1.443431,1.699822,1.916012,0.028502,-2.353244,0.031199,1
-0.308121,-2.922381,-2.614239,1.615266,1.152811,-2.768557,0.285425,0.461862,0.671013,-0.064833,0.56011,0.243557,-0.144175,-1.056708,0.162347,0
0.209909,-2.570681,-2.780582,1.180145,1.494985,-2.675621,1.053561,0.559921,-0.019617,0.277591,-1.373136,0.359093,-0.275798,-2.438414,-0.752815,0
-0.118777,-2.512213,-2.394268,1.315152,1.138013,-2.453557,1.368321,1.248025,1.898189,0.888302,1.743417,-0.090241,1.519345,-3.631059,-1.919627,1
-1.150799,-5.460355,-4.308959,3.305307,1.578918,-4.884402,2.408009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
0.186332,-3.128671,-3.314996,1.471177,1.750667,-3.221834,-0.072086,1.370856,0.730717,-0.722774,-0.257784,-0.315312,0.460972,-2.947319,0.764886,0
-2.250795,-4.035583,-1.7847,3.143187,-0.233146,-2.909891,-0.791132,-1.570219,-0.451198,0.416679,-0.162141,1.14075,0.110887,-0.910229,0.455595,1
0.594509,-2.571211,-3.166185,0.988428,1.880079,-2.868701,2.283416,2.210229,2.295834,1.832963,1.575839,1.604896,0.603235,-1.726761,0.513244,1
0.04531,-2.84591,-2.891375,1.400249,1.468347,-2.868394,0.629824,0.745771,0.545854,-0.250722,-1.322413,-0.860922,0.343284,-1.507176,0.591939,0
0.127583,-2.776442,-2.904026,1.324432,1.515552,-2.839986,1.45492,1.484996,1.609631,1.443431,1.699822,1.916012,0.028502,-2.353244,0.031199,1
-0.308121,-2.922381,-2.614239,1.615266,1.152811,-2.768557,0.285425,0.461862,0.671013,-0.064833,0.56011,0.243557,-0.144175,-1.056708,0.162347,0
0.209909,-2.570681,-2.780582,1.180145,1.494985,-2.675621,1.053561,0.559921,-0.019617,0.277591,-1.373136,0.359093,-0.275798,-2.438414,-0.752815,0
-0.118777,-2.512213,-2.394268,1.315152,1.138013,-2.453557,1.368321,1.248025,1.898189,0.888302,1.743417,-0.090241,1.519345,-3.631059,-1.919627,1
-1.150799,-5.460355,-4.308959,3.305307,1.578918,-4.884402,2.408009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
0.186332,-3.128671,-3.314996,1.471177,1.750667,-3.221834,-0.072086,1.370856,0.730717,-0.722774,-0.257784,-0.315312,0.460972,-2.947319,0.764886,0
-2.250795,-4.035583,-1.7847,3.143187,-0.233146,-2.909891,-0.791132,-1.570219,-0.451198,0.416679,-0.162141,1.14075,0.110887,-0.910229,0.455595,1
0.594509,-2.571211,-3.166185,0.988428,1.880079,-2.868701,2.283416,2.210229,2.295834,1.832963,1.575839,1.604896,0.603235,-1.726761,0.513244,1
0.04531,-2.84591,-2.891375,1.400249,1.468347,-2.868394,0.629824,0.745771,0.545854,-0.250722,-1.322413,-0.860922,0.343284,-1.507176,0.591939,0
0.127583,-2.776442,-2.904026,1.324432,1.515552,-2.839986,1.45492,1.484996,1.609631,1.443431,1.699822,1.916012,0.028502,-2.353244,0.031199,1
-0.308121,-2.922381,-2.614239,1.615266,1.152811,-2.768557,0.285425,0.461862,0.671013,-0.064833,0.56011,0.243557,-0.144175,-1.056708,0.162347,0
0.209909,-2.570681,-2.780582,1.180145,1.494985,-2.675621,1.053561,0.559921,-0.019617,0.277591,-1.373136,0.359093,-0.275798,-2.438414,-0.752815,0
-0.118777,-2.512213,-2.394268,1.315152,1.138013,-2.453557,1.368321,1.248025,1.898189,0.888302,1.743417,-0.090241,1.519345,-3.631059,-1.919627,1
-1.150799,-5.460355,-4.308959,3.305307,1.578918,-4.884402,2.408009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
0.186332,-3.128671,-3.314996,1.471177,1.750667,-3.221834,-0.072086,1.370856,0.730717,-0.722774,-0.257784,-0.315312,0.460972,-2.947319,0.764886,0
-2.250795,-4.035583,-1.7847,3.143187,-0.233146,-2.909891,-0.791132,-1.570219,-0.451198,0.416679,-0.162141,1.14075,0.110887,-0.910229,0.455595,1
0.594509,-2.571211,-3.166185,0.988428,1.880079,-2.868701,2.283416,2.210229,2.295834,1.832963,1.575839,1.604896,0.603235,-1.726761,0.513244,1
0.04531,-2.84591,-2.891375,1.400249,1.468347,-2.868394,0.629824,0.745771,0.545854,-0.250722,-1.322413,-0.860922,0.343284,-1.507176,0.591939,0
0.127583,-2.776442,-2.904026,1.324432,1.515552,-2.839986,1.45492,1.484996,1.609631,1.443431,1.699822,1.916012,0.028502,-2.353244,0.031199,1
-0.308121,-2.922381,-2.614239,1.615266,1.152811,-2.768557,0.285425,0.461862,0.671013,-0.064833,0.56011,0.243557,-0.144175,-1.056708,0.162347,0
0.209909,-2.570681,-2.780582,1.180145,1.494985,-2.675621,1.053561,0.559921,-0.019617,0.277591,-1.373136,0.359093,-0.275798,-2.438414,-0.752815,0
-0.118777,-2.512213,-2.394268,1.315152,1.138013,-2.453557,1.368321,1.248025,1.898189,0.888302,1.743417,-0.090241,1.519345,-3.631059,-1.919627,1
-1.150799,-5.460355,-4.308959,3.305307,1.578918,-4.884402,2.408009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
0.186332,-3.128671,-3.314996,1.471177,1.750667,-3.221834,-0.072086,1.370856,0.730717,-0.722774,-0.257784,-0.315312,0.460972,-2.947319,0.764886,0
-2.250795,-4.035583,-1.7847,3.143187,-0.233146,-2.909891,-0.791132,-1.570219,-0.451198,0.416679,-0.162141,1.14075,0.110887,-0.910229,0.455595,1
0.594509,-2.571211,-3.166185,0.988428,1.880079,-2.868701,2.283416,2.210229,2.295834,1.832963,1.575839,1.604896,0.603235,-1.726761,0.513244,1
0.04531,-2.84591,-2.891375,1.400249,1.468347,-2.868394,0.629824,0.745771,0.545854,-0.250722,-1.322413,-0.860922,0.343284,-1.507176,0.591939,0
0.127583,-2.776442,-2.904026,1.324432,1.515552,-2.839986,1.45492,1.484996,1.609631,1.443431,1.699822,1.916012,0.028502,-2.353244,0.031199,1
-0.308121,-2.922381,-2.614239,1.615266,1.152811,-2.768557,0.285425,0.461862,0.671013,-0.064833,0.56011,0.243557,-0.144175,-1.056708,0.162347,0
0.209909,-2.570681,-2.780582,1.180145,1.494985,-2.675621,1.053561,0.559921,-0.019617,0.277591,-1.373136,0.359093,-0.275798,-2.438414,-0.752815,0
-0.118777,-2.512213,-2.394268,1.315152,1.138013,-2.453557,1.368321,1.248025,1.898189,0.888302,1.743417,-0.090241,1.519345,-3.631059,-1.919627,1
-1.150799,-5.460355,-4.308959,3.305307,1.578918,-4.884402,2.408009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
0.186332,-3.128671,-3.314996,1.471177,1.750667,-3.221834,-0.072086,1.370856,0.730717,-0.722774,-0.257784,-0.315312,0.460972,-2.947319,0.764886,0
-2.250795,-4.035583,-1.7847,3.143187,-0.233146,-2.909891,-0.791132,-1.570219,-0.451198,0.416679,-0.162141,1.14075,0.110887,-0.910229,0.455595,1
0.594509,-2.571211,-3.166185,0.988428,1.880079,-2.868701,2.283416,2.210229,2.295834,1.832963,1.575839,1.604896,0.603235,-1.726761,0.513244,1
0.04531,-2.84591,-2.891375,1.400249,1.468347,-2.868394,0.629824,0.745771,0.545854,-0.250722,-1.322413,-0.860922,0.343284,-1.507176,0.591939,0
0.127583,-2.776442,-2.904026,1.324432,1.515552,-2.839986,1.45492,1.484996,1.609631,1.443431,1.699822,1.916012,0.028502,-2.353244,0.031199,1
-0.308121,-2.922381,-2.614239,1.615266,1.152811,-2.768557,0.285425,0.461862,0.671013,-0.064833,0.56011,0.243557,-0.144175,-1.056708,0.162347,0
0.209909,-2.570681,-2.780582,1.180145,1.494985,-2.675621,1.053561,0.559921,-0.019617,0.277591,-1.373136,0.359093,-0.275798,-2.438414,-0.752815,0
-0.118777,-2.512213,-2.394268,1.315152,1.138013,-2.453557,1.368321,1.248025,1.898189,0.888302,1.743417,-0.090241,1.519345,-3.631059,-1.919627,1
-1.150799,-5.460355,-4.308959,3.305307,1.578918,-4.884402,2.408009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
0.186332,-3.128671,-3.314996,1.471177,1.750667,-3.221834,-0.072086,1.370856,0.730717,-0.722774,-0.257784,-0.315312,0.460972,-2.947319,0.764886,0
-2.250795,-4.035583,-1.7847,3.143187,-0.233146,-2.909891,-0.791132,-1.570219,-0.451198,0.416679,-0.162141,1.14075,0.110887,-0.910229,0.455595,1
0.594509,-2.571211,-3.166185,0.988428,1.880079,-2.868701,2.283416,2.210229,2.295834,1.832963,1.575839,1.604896,0.603235,-1.726761,0.513244,1
0.04531,-2.84591,-2.891375,1.400249,1.468347,-2.868394,0.629824,0.745771,0.545854,-0.250722,-1.322413,-0.860922,0.343284,-1.507176,0.591939,0
0.127583,-2.776442,-2.904026,1.324432,1.515552,-2.839986,1.45492,1.484996,1.609631,1.443431,1.699822,1.916012,0.028502,-2.353244,0.031199,1
-0.308121,-2.922381,-2.614239,1.615266,1.152811,-2.768557,0.285425,0.461862,0.671013,-0.064833,0.56011,0.243557,-0.144175,-1.056708,0.162347,0
0.209909,-2.570681,-2.780582,1.180145,1.494985,-2.675621,1.053561,0.559921,-0.019617,0.277591,-1.373136,0.359093,-0.275798,-2.438414,-0.752815,0
-0.118777,-2.512213,-2.394268,1.315152,1.138013,-2.453557,1.368321,1.248025,1.898189,0.888302,1.743417,-0.090241,1.519345,-3.631059,-1.919627,1
-1.150799,-5.460355,-4.308959,3.305307,1.578918,-4.884402,2.408009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
0.186332,-3.128671,-3.314996,1.471177,1.750667,-3.221834,-0.072086,1.370856,0.730717,-0.722774,-0.257784,-0.315312,0.460972,-2.947319,0.764886,0
-2.250795,-4.035583,-1.7847,3.143187,-0.233146,-2.909891,-0.791132,-1.570219,-0.451198,0.416679,-0.162141,1.14075,0.110887,-0.910229,0.455595,1
0.594509,-2.571211,-3.166185,0.988428,1.880079,-2.868701,2.283416,2.210229,2.295834,1.832963,1.575839,1.604896,0.603235,-1.726761,0.513244,1
0.04531,-2.84591,-2.891375,1.400249,1.468347,-2.868394,0.629824,0.745771,0.545854,-0.250722,-1.322413,-0.860922,0.343284,-1.507176,0.591939,0
0.127583,-2.776442,-2.904026,1.324432,1.515552,-2.839986,1.45492,1.484996,1.609631,1.443431,1.699822,1.916012,0.028502,-2.353244,0.031199,1
-0.308121,-2.922381,-2.614239,1.615266,1.152811,-2.768557,0.285425,0.461862,0.671013,-0.064833,0.56011,0.243557,-0.144175,-1.056708,0.162347,0
0.209909,-2.570681,-2.780582,1.180145,1.494985,-2.675621,1.053561,0.559921,-0.019617,0.277591,-1.373136,0.359093,-0.275798,-2.438414,-0.752815,0
-0.118777,-2.512213,-2.394268,1.315152,1.138013,-2.453557,1.368321,1.248025,1.898189,0.888302,1.743417,-0.090241,1.519345,-3.631059,-1.919627,1
-1.150799,-5.460355,-4.308959,3.305307,1.578918,-4.884402,2.408009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
0.186332,-3.128671,-3.314996,1.471177,1.750667,-3.221834,-0.072086,1.370856,0.730717,-0.722774,-0.257784,-0.315312,0.460972,-2.947319,0.764886,0
-2.250795,-4.035583,-1.7847,3.143187,-0.233146,-2.909891,-0.791132,-1.570219,-0.451198,0.416679,-0.162141,1.14075,0.110887,-0.910229,0.455595,1
0.594509,-2.571211,-3.166185,0.988428,1.880079,-2.868701,2.283416,2.210229,2.295834,1.832963,1.575839,1.604896,0.603235,-1.726761,0.513244,1
0.04531,-2.84591,-2.891375,1.400249,1.468347,-2.868394,0.629824,0.745771,0.545854,-0.250722,-1.322413,-0.860922,0.343284,-1.507176,0.591939,0
0.127583,-2.776442,-2.904026,1.324432,1.515552,-2.839986,1.45492,1.484996,1.609631,1.443431,1.699822,1.916012,0.028502,-2.353244,0.031199,1
-0.308121,-2.922381,-2.614239,1.615266,1.152811,-2.768557,0.285425,0.461862,0.671013,-0.064833,0.56011,0.243557,-0.144175,-1.056708,0.162347,0
0.209909,-2.570681,-2.780582,1.180145,1.494985,-2.675621,1.053561,0.559921,-0.019617,0.277591,-1.373136,0.359093,-0.275798,-2.438414,-0.752815,0
-0.118777,-2.512213,-2.394268,1.315152,1.138013,-2.453557,1.368321,1.248025,1.898189,0.888302,1.743417,-0.090241,1.519345,-3.631059,-1.919627,1
-1.150799,-5.460355,-4.308959,3.305307,1.578918,-4.884402,2.408009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
0.186332,-3.128671,-3.314996,1.471177,1.750667,-3.221834,-0.072086,1.370856,0.730717,-0.722774,-0.257784,-0.315312,0.460972,-2.947319,0.764886,0
-2.250795,-4.035583,-1.7847,3.143187,-0.233146,-2.909891,-0.791132,-1.570219,-0.451198,0.416679,-0.162141,1.14075,0.110887,-0.910229,0.455595,1
0.594509,-2.571211,-3.166185,0.988428,1.880079,-2.868701,2.283416,2.210229,2.295834,1.832963,1.575839,1.604896,0.603235,-1.726761,0.513244,1
0.04531,-2.84591,-2.891375,1.400249,1.468347,-2.868394,0.629824,0.745771,0.545854,-0.250722,-1.322413,-0.860922,0.343284,-1.507176,0.591939,0
0.127583,-2.776442,-2.904026,1.324432,1.515552,-2.839986,1.45492,1.484996,1.609631,1.443431,1.699822,1.916012,0.028502,-2.353244,0.031199,1
-0.308121,-2.922381,-2.614239,1.615266,1.152811,-2.768557,0.285425,0.461862,0.671013,-0.064833,0.56011,0.243557,-0.144175,-1.056708,0.162347,0
0.209909,-2.570681,-2.780582,1.180145,1.494985,-2.675621,1.053561,0.559921,-0.019617,0.277591,-1.373136,0.359093,-0.275798,-2.438414,-0.752815,0
-0.118777,-2.512213,-2.394268,1.315152,1.138013,-2.453557,1.368321,1.248025,1.898189,0.888302,1.743417,-0.090241,1.519345,-3.631059,-1.919627,1
-1.150799,-5.460355,-4.308959,3.305307,1.578918,-4.884402,2.408009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
0.186332,-3.128671,-3.314996,1.471177,1.750667,-3.221834,-0.072086,1.370856,0.730717,-0.722774,-0.257784,-0.315312,0.460972,-2.947319,0.764886,0
-2.250795,-4.035583,-1.7847,3.143187,-0.233146,-2.909891,-0.791132,-1.570219,-0.451198,0.416679,-0.162141,1.14075,0.110887,-0.910229,0.455595,1
0.594509,-2.571211,-3.166185,0.988428,1.880079,-2.868701,2.283416,2.210229,2.295834,1.832963,1.575839,1.604896,0.603235,-1.726761,0.513244,1
0.04531,-2.84591,-2.891375,1.400249,1.468347,-2.868394,0.629824,0.745771,0.545854,-0.250722,-1.322413,-0.860922,0.343284,-1.507176,0.591939,0
0.127583,-2.776442,-2.904026,1.324432,1.515552,-2.839986,1.45492,1.484996,1.609631,1.443431,1.699822,1.916012,0.028502,-2.353244,0.031199,1
-0.308121,-2.922381,-2.614239,1.615266,1.152811,-2.768557,0.285425,0.461862,0.671013,-0.064833,0.56011,0.243557,-0.144175,-1.056708,0.162347,0
0.209909,-2.570681,-2.780582,1.180145,1.494985,-2.675621,1.053561,0.559921,-0.019617,0.277591,-1.373136,0.359093,-0.275798,-2.438414,-0.752815,0
-0.118777,-2.512213,-2.394268,1.315152,1.138013,-2.453557,1.368321,1.248025,1.898189,0.888302,1.743417,-0.090241,1.519345,-3.631059,-1.919627,1
-1.150799,-5.460355,-4.308959,3.305307,1.578918,-4.884402,2.408009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
0.186332,-3.128671,-3.314996,1.471177,1.750667,-3.221834,-0.072086,1.370856,0.730717,-0.722774,-0.257784,-0.315312,0.460972,-2.947319,0.764886,0
-2.250795,-4.035583,-1.7847,3.143187,-0.233146,-2.909891,-0.791132,-1.570219,-0.451198,0.416679,-0.162141,1.14075,0.110887,-0.910229,0.455595,1
0.594509,-2.571211,-3.166185,0.988428,1.880079,-2.868701,2.283416,2.210229,2.295834,1.832963,1.575839,1.604896,0.603235,-1.726761,0.513244,1
0.04531,-2.84591,-2.891375,1.400249,1.468347,-2.868394,0.629824,0.745771,0.545854,-0.250722,-1.322413,-0.860922,0.343284,-1.507176,0.591939,0
0.127583,-2.776442,-2.904026,1.324432,1.515552,-2.839986,1.45492,1.484996,1.609631,1.443431,1.699822,1.916012,0.028502,-2.353244,0.031199,1
-0.308121,-2.922381,-2.614239,1.615266,1.152811,-2.768557,0.285425,0.461862,0.671013,-0.064833,0.56011,0.243557,-0.144175,-1.056708,0.162347,0
0.209909,-2.570681,-2.780582,1.180145,1.494985,-2.675621,1.053561,0.559921,-0.019617,0.277591,-1.373136,0.359093,-0.275798,-2.438414,-0.752815,0
-0.118777,-2.512213,-2.394268,1.315152,1.138013,-2.453557,1.368321,1.248025,1.898189,0.888302,1.743417,-0.090241,1.519345,-3.631059,-1.919627,1
-1.150799,-5.460355,-4.308959,3.305307,1.578918,-4.884402,2.408009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
0.186332,-3.128671,-3.314996,1.471177,1.750667,-3.221834,-0.072086,1.370856,0.730717,-0.722774,-0.257784,-0.315312,0.460972,-2.947319,0.764886,0
-2.250795,-4.035583,-1.7847,3.143187,-0.233146,-2.909891,-0.791132,-1.570219,-0.451198,0.416679,-0.162141,1.14075,0.110887,-0.910229,0.455595,1
0.594509,-2.571211,-3.166185,0.988428,1.880079,-2.868701,2.283416,2.210229,2.295834,1.832963,1.575839,1.604896,0.603235,-1.726761,0.513244,1
0.04531,-2.84591,-2.891375,1.400249,1.468347,-2.868394,0.629824,0.745771,0.545854,-0.250722,-1.322413,-0.860922,0.343284,-1.507176,0.591939,0
0.127583,-2.776442,-2.904026,1.324432,1.515552,-2.839986,1.45492,1.484996,1.609631,1.443431,1.699822,1.916012,0.028502,-2.353244,0.031199,1
-0.308121,-2.922381,-2.614239,1.615266,1.152811,-2.768557,0.285425,0.461862,0.671013,-0.064833,0.56011,0.243557,-0.144175,-1.056708,0.162347,0
0.209909,-2.570681,-2.780582,1.180145,1.494985,-2.675621,1.053561,0.559921,-0.019617,0.277591,-1.373136,0.359093,-0.275798,-2.438414,-0.752815,0
-0.118777,-2.512213,-2.394268,1.315152,1.138013,-2.453557,1.368321,1.248025,1.898189,0.888302,1.743417,-0.090241,1.519345,-3.631059,-1.919627,1
-1.150799,-5.460355,-4.308959,3.305307,1.578918,-4.884402,2.408009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
0.186332,-3.128671,-3.314996,1.471177,1.750667,-3.221834,-0.072086,1.370856,0.730717,-0.722774,-0.257784,-0.315312,0.460972,-2.947319,0.764886,0
-2.250795,-4.035583,-1.7847,3.143187,-0.233146,-2.909891,-0.791132,-1.570219,-0.451198,0.416679,-0.162141,1.14075,0.110887,-0.910229,0.455595,1
0.594509,-2.571211,-3.166185,0.988428,1.880079,-2.868701,2.283416,2.210229,2.295834,1.832963,1.575839,1.604896,0.603235,-1.726761,0.513244,1
0.04531,-2.84591,-2.891375,1.400249,1.468347,-2.868394,0.629824,0.745771,0.545854,-0.250722,-1.322413,-0.860922,0.343284,-1.507176,0.591939,0
0.127583,-2.776442,-2.904026,1.324432,1.515552,-2.839986,1.45492,1.484996,1.609631,1.443431,1.699822,1.916012,0.028502,-2.353244,0.031199,1
-0.308121,-2.922381,-2.614239,1.615266,1.152811,-2.768557,0.285425,0.461862,0.671013,-0.064833,0.56011,0.243557,-0.144175,-1.056708,0.162347,0
0.209909,-2.570681,-2.780582,1.180145,1.494985,-2.675621,1.053561,0.559921,-0.019617,0.277591,-1.373136,0.359093,-0.275798,-2.438414,-0.752815,0
-0.118777,-2.512213,-2.394268,1.315152,1.138013,-2.453557,1.368321,1.248025,1.898189,0.888302,1.743417,-0.090241,1.519345,-3.631059,-1.919627,1
-1.150799,-5.460355,-4.308959,3.305307,1.578918,-4.884402,2.408009,2.127227,2.168225,1.787097,1.886805,1.796253,0.215175,-2.778151,-0.06931,0
